plain,black-matter,antiq,ocean,random,anisotropia-cu,anisotropia-br,62-38-cu,62-38-br,,,,,,,,,,,,
24 490,49 400,51 380,50 390,43 480,50 090,,,44 670,,,,,,,,,,,,
34 850,56 560,58 540,57 550,50 640,57 250,,,51 830,,,,,,,,,,,,
42 180,63 890,65 870,64 880,57 970,64 580,,,59 160,,,,,,,,,,,,
28 990,50 710,52 690,51 700,44 790,51 400,,,45 980,,,,,,,,,,,,
36 150,57 860,59 840,58 850,51 940,58 550,,,53 130,,,,,,,,,,,,
43 490,65 200,67 180,66 190,59 280,65 890,,,60 470,,,,,,,,,,,,
31 970,53 680,55 660,54 670,47 760,54 370,,,48 950,,,,,,,,,,,,
40 480,62 190,64 170,63 180,56 270,62 880,,,57 460,,,,,,,,,,,,
49 480,71 190,73 170,72 180,65 270,71 880,,,66 460,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
